Unnamed: 0,smiles,property,value,Polymer_BRICS
889,[*]C(C)C([*])O,Egc,6.0639,['CCCO']
890,[*]CC([*])C(=O)C(C)(C)C,Egc,5.3334,['CCC(=O)C(C)(C)C']
891,[*]CC([*])C(=O)c1ccccc1O,Egc,1.7298,"['CCC=O', 'Oc1ccccc1']"
892,[*]C([*])O,Egc,6.4482,['CO']
893,[*]CC([*])SCC,Egc,4.9086,"['CC', 'CC', 'S']"
894,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)F,Egc,8.7447,"['FCC(F)F', 'FC(F)C(F)(F)F', 'O']"
895,[*]C(OC(F)(F)F)C([*])(F)F,Egc,8.5308,"['OC(F)(F)F', 'CC(F)F']"
896,[*]C(F)C([*])(F)OC(F)(F)F,Egc,8.1265,"['OC(F)(F)F', 'FCCF']"
897,[*]C(F)(F)C([*])(F)OC(F)(F)F,Egc,8.2947,"['OC(F)(F)F', 'FCC(F)F']"
898,[*]CC([*])SC,Egc,5.023,"['CS', 'CC']"
899,[*]CC([*])(F)C(C)=O,Egc,4.643,['CC(=O)C(C)F']
900,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,Egc,3.8338,"['CO', 'CCC=O', 'Brc1ccccc1']"
901,[*]CC([*])C(=O)c1ccc(CC)cc1,Egc,4.27,"['CCC=O', 'CC', 'c1ccccc1']"
902,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,Egc,4.6237,"['CC=O', 'O', 'CC', 'C=O', 'c1ccccc1']"
903,[*]CC([*])OC(=O)c1cccc(Br)c1,Egc,4.2289,"['O', 'CC', 'C=O', 'Brc1ccccc1']"
904,[*]CC([*])OC(=O)c1cccc(Cl)c1,Egc,1.7974,"['O', 'CC', 'C=O', 'Clc1ccccc1']"
905,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.4207,"['O=CC(F)(F)C(F)(F)C(F)(F)F', 'O', 'CC']"
906,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,Egc,6.6309,"['O=CC(F)(F)C(F)(F)F', 'O', 'CC']"
907,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.4713,"['O=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F', 'O', 'CC']"
908,[*]CC([*])OC(=O)c1ccc(OC)cc1,Egc,4.435,"['O', 'CC', 'CO', 'C=O', 'c1ccccc1']"
909,[*]CC([*])OC(=O)c1cccnc1,Egc,4.7397,"['O', 'CC', 'C=O', 'c1ccncc1']"
910,[*]CC([*])OC(=O)C(C)(C)C,Egc,6.1579,"['CC(C)(C)C=O', 'O', 'CC']"
911,[*]C=C([*])c1ccccc1,Egc,0.1289,['C=Cc1ccccc1']
912,[*]CC([*])OC(=O)CCC,Egc,6.8545,"['CCCC=O', 'O', 'CC']"
913,[*]CC([*])c1cccs1,Egc,1.7879,"['CC', 'c1ccsc1']"
914,[*]CC([*])OCCCl,Egc,6.0339,"['CC', 'CCCl', 'O']"
915,[*]CC([*])c1nc(C)nc(C)n1,Egc,5.2445,"['CC', 'Cc1ncnc(C)n1']"
916,[*]CC([*])OC(=O)CCCCC,Egc,6.3448,"['CCCCCC=O', 'O', 'CC']"
917,[*]CC(OC)C1C(=O)OC(=O)C1[*],Egc,5.9975,"['CO', 'CC', 'O=C1CCC(=O)O1']"
918,[*]CC(OC)C(C(=O)O)C([*])C(=O)O,Egc,6.3287,"['CO', 'CCC(CC(=O)O)C(=O)O']"
919,[*]CC([*])n1ccnc1,Egc,4.8897,"['CC', 'c1cncn1']"
920,[*]CC([*])C(=O)c1ccc(Br)cc1,Egc,1.5897,"['CCC=O', 'Brc1ccccc1']"
921,[*]CC([*])OC(=O)CC1CCCC1,Egc,6.5327,"['O', 'CC', 'CC=O', 'C1CCCC1']"
922,[*]CC([*])N1CCCC1=O,Egc,5.4797,"['CC', 'O=C1CCCN1']"
923,[*]CC([*])C(=O)O,Egc,6.7889,['CCC(=O)O']
924,[*]CC([*])C(=O)OCC,Egc,6.2551,"['CCC=O', 'O', 'CC']"
925,[*]CC([*])C(=O)OC(C)C,Egc,6.4162,"['CCC=O', 'O', 'CCC']"
926,[*]CC([*])C(=O)OCC(C)C,Egc,6.1261,"['CCC=O', 'O', 'CC(C)C']"
927,[*]CC([*])C(=O)OCCCCCCCCCCCCCC,Egc,6.5079,"['CCC=O', 'O', 'CCCCCCCCCCCCCC']"
928,[*]CC([*])C(=O)OCC=C,Egc,6.066,"['CCC=O', 'O', 'C=CC']"
929,[*]CC([*])C(=O)OCC(F)(F)F,Egc,6.7005,"['CCC=O', 'O', 'CC(F)(F)F']"
930,[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,Egc,6.8499,"['CCC=O', 'O', 'CC(F)(F)C(F)C(F)(F)F']"
931,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Egc,6.784,"['CCC=O', 'O', 'CC(F)(F)C(F)(F)C(F)(F)F']"
932,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.3101,"['CCC=O', 'O', 'CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F']"
933,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.2833,"['CCC=O', 'O', 'CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F']"
934,[*]CC([*])C(=O)OCCCOC,Egc,5.8538,"['CCC=O', 'O', 'CO', 'CCC']"
935,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,Egc,6.5517,"['CCC=O', 'O', 'OC(F)(F)F', 'CC(F)(F)C(F)F']"
936,[*]CC([*])(C)C(=O)OC,Egc,6.5972,"['CO', 'CC(C)C=O']"
937,[*]CC([*])(C)C(=O)OCC,Egc,6.4148,"['CC(C)C=O', 'O', 'CC']"
938,[*]CC([*])(C)C(=O)OCCCCCC,Egc,6.4509,"['CC(C)C=O', 'O', 'CCCCCC']"
939,[*]CC([*])(C)C(=O)Oc1ccccc1,Egc,5.2323,"['CC(C)C=O', 'O', 'c1ccccc1']"
940,[*]CC([*])(C)C(=O)OCCc1ccccc1,Egc,5.7104,"['CC(C)C=O', 'O', 'CC', 'c1ccccc1']"
941,[*]CC([*])(C)C(=O)Oc1ccc2ccccc2c1,Egc,3.6336,"['CC(C)C=O', 'O', 'c1ccc2ccccc2c1']"
942,[*]CC([*])(C)C(=O)OCCBr,Egc,5.9262,"['CC(C)C=O', 'O', 'CCBr']"
943,[*]CC([*])(C)C(=O)OCC(F)(F)F,Egc,6.5436,"['CC(C)C=O', 'O', 'CC(F)(F)F']"
944,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,Egc,6.3988,"['CC(C)C=O', 'O', 'CC(F)(F)C(F)F']"
945,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,Egc,6.0312,"['CC(C)C=O', 'O', 'FC(F)(F)CC(F)(F)F']"
946,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,Egc,6.1534,"['CC(C)C=O', 'O', 'FC(C(F)(F)F)C(F)(F)F']"
947,[*]CC([*])(C)C(=O)OCCO,Egc,6.1908,"['CC(C)C=O', 'O', 'CCO']"
948,[*]CC([*])(C)C(=O)OCCOCC,Egc,6.2857,"['CC(C)C=O', 'O', 'CC', 'CC']"
949,[*]CC([*])(C)C(=O)OCC1CCCO1,Egc,5.5918,"['CC(C)C=O', 'O', 'C', 'C1CCOC1']"
950,[*]CC([*])(Cl)C(=O)OC,Egc,5.8077,"['CO', 'CC(Cl)C=O']"
951,[*]CC([*])(Cl)C(=O)OCC,Egc,6.3834,"['CC(Cl)C=O', 'O', 'CC']"
952,[*]CC([*])C(N)=O,Egc,6.3386,['CCC(N)=O']
953,[*]CC([*])C(=O)OC(CC)CC,Egc,6.4889,"['CCC=O', 'O', 'CCCCC']"
954,[*]CC([*])C(=O)OC1CCCCC1,Egc,6.0771,"['CCC=O', 'O', 'C1CCCCC1']"
955,[*]CC([*])(C#N)C(=O)OC,Egc,6.7385,"['CO', 'CC(C#N)C=O']"
956,[*]CC([*])C(=O)OC(C)CC(C)C,Egc,6.3605,"['CCC=O', 'O', 'CCCC(C)C']"
957,[*]CC([*])C(=O)OCCC#N,Egc,6.4368,"['CCC=O', 'O', 'CCC#N']"
958,[*]CC([*])C(=O)OCF,Egc,6.4866,"['OCF', 'CCC=O']"
959,[*]CC([*])C(=O)OCCCCSC,Egc,4.571,"['CCC=O', 'O', 'CS', 'CCCC']"
960,[*]CC([*])C(=O)OCCCSCC,Egc,4.5768,"['CCC=O', 'O', 'CCC', 'CC', 'S']"
961,[*]CC([*])C(=O)OCCSCC#N,Egc,5.2595,"['CCC=O', 'O', 'CC', 'CC#N', 'S']"
962,[*]CC([*])C(=O)OCCCSCCC#N,Egc,5.408,"['CCC=O', 'O', 'CCC', 'CCC#N', 'S']"
963,[*]CC([*])C(=O)OCCCCCCSCC#N,Egc,5.2126,"['CCC=O', 'O', 'CCCCCC', 'CC#N', 'S']"
964,[*]CC([*])C(=O)Oc1cccc(C)c1,Egc,4.8262,"['CCC=O', 'O', 'Cc1ccccc1']"
965,[*]CC([*])C(=O)Oc1ccc(OC)cc1,Egc,4.4447,"['CCC=O', 'O', 'CO', 'c1ccccc1']"
966,[*]CC([*])C(=O)Oc1ccc(C#N)cc1,Egc,4.6366,"['CCC=O', 'O', 'N#Cc1ccccc1']"
967,[*]CC([*])C(=O)NC(C)CC,Egc,5.3154,"['CCC=O', 'N', 'CCCC']"
968,[*]CC([*])(C)C(=O)OCCOCCO,Egc,5.7449,"['CC(C)C=O', 'O', 'CCO', 'CC']"
969,[*]CC([*])(C)C(=O)OCCC#N,Egc,6.1882,"['CC(C)C=O', 'O', 'CCC#N']"
970,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,Egc,6.3477,"['CC(C)C=O', 'O', 'CC(F)(F)C(F)(F)C(F)(F)C(F)F']"
971,[*]CC([*])(F)C(=O)OC,Egc,6.8022,"['CO', 'CC(F)C=O']"
972,[*]CC([*])(CF)C(=O)OC,Egc,6.854,"['CO', 'CC(C=O)CF']"
973,[*]CC([*])C(=O)Oc1ccc(Cl)cc1,Egc,2.4559,"['CCC=O', 'O', 'Clc1ccccc1']"
974,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.9089,"['CCC=O', 'O', 'FC(F)C(F)(F)C(F)(F)C(F)(F)F', 'CC(F)(F)C(F)F']"
975,[*]C1C(=O)N(C2CCCCC2)C(=O)C1[*],Egc,5.1464,"['C1CCCCC1', 'O=C1CCC(=O)N1']"
976,[*]CC([*])(C#N)C(=O)OCC,Egc,6.5171,"['CC(C#N)C=O', 'O', 'CC']"
977,[*]CC([*])C(=O)OCCO,Egc,6.417,"['CCC=O', 'O', 'CCO']"
978,[*]CC([*])(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,Egc,3.7637,"['CC(C)C=O', 'O', 'CCCC', 'c1ccc2c(c1)nc1ccccc12']"
979,[*]CCC(C(=O)OC)C([*])C(=O)OC,Egc,6.6384,"['CO', 'CCC(C=O)CC=O']"
980,[*]CC([*])(C#N)C(=O)OCC(C)C,Egc,6.6162,"['CC(C#N)C=O', 'O', 'CC(C)C']"
981,[*]CC([*])(C#N)C(=O)OC(C)C,Egc,6.4883,"['CC(C#N)C=O', 'O', 'CCC']"
982,[*]CC([*])(C#N)C(=O)OCCCCCCC,Egc,6.3455,"['CC(C#N)C=O', 'O', 'CCCCCCC']"
983,[*]CC([*])(CO)C(=O)OCC,Egc,5.8505,"['CC(C=O)CO', 'O', 'CC']"
984,[*]C1C(=O)OC(=O)C1[*],Egc,6.3452,['O=C1CCC(=O)O1']
985,[*]CC([*])F,Egc,7.6225,['CCF']
986,[*]CC([*])Cl,Egc,7.0905,['CCCl']
987,[*]CC([*])(F)F,Egc,7.1498,['CC(F)F']
988,[*]CC([*])(Cl)Cl,Egc,5.4955,['CC(Cl)Cl']
989,[*]C(F)C([*])(F)F,Egc,7.6787,['FCC(F)F']
990,[*]CCC=C([*])Cl,Egc,5.461,['CCC=CCl']
991,[*]CC([*])(F)C(F)(F)F,Egc,8.6147,['CC(F)C(F)(F)F']
992,[*]CC([*])C(F)(F)F,Egc,8.2263,['CCC(F)(F)F']
993,[*]CC([*])Br,Egc,6.0567,['CCBr']
994,[*]CCC(F)(F)C([*])(F)Cl,Egc,7.738,['CCC(F)(F)C(F)Cl']
995,[*]CCC(F)(F)C([*])(F)F,Egc,8.6882,['CCC(F)(F)C(F)F']
996,[*]CC([*])(Br)Br,Egc,5.2567,['CC(Br)Br']
997,[*]CCCCCCCCC(Cl)C([*])Cl,Egc,6.9929,['CCCCCCCCC(Cl)CCl']
998,[*]CCCCCCCCCCC(Cl)C([*])Cl,Egc,7.2165,['CCCCCCCCCCC(Cl)CCl']
999,[*]CCCC(Cl)C([*])Cl,Egc,6.8622,['CCCC(Cl)CCl']
1000,[*]CC(F)(F)C(F)=C([*])Cl,Egc,4.8591,['CC(F)(F)C(F)=CCl']
1001,[*]C=C(F)C(F)(F)C[*],Egc,5.7867,['C=C(F)C(C)(F)F']
1002,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F,Egc,7.2365,"['FCF', 'FC1C(F)(F)C(F)C(F)(F)C(F)(Cl)C1(F)F']"
1003,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C1(F)F,Egc,7.1313,"['FCF', 'FC1C(F)(F)C(F)C1(F)F']"
1004,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,Egc,7.2142,"['FCF', 'FC1C(F)(F)C(F)C(F)(F)C1(F)F']"
1005,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,Egc,4.2472,['ClC=C(Cl)C(Cl)(Cl)C(Cl)Cl']
1006,[*]CCC(Cl)C([*])Cl,Egc,6.5471,['CCC(Cl)CCl']
1007,[*]C=CC(C[*])(C(F)(F)F)C(F)(F)F,Egc,6.1653,['C=CC(C)(C(F)(F)F)C(F)(F)F']
1008,[*]CCC=C([*])C,Egc,5.3639,"['CC', 'CCC']"
1009,[*]C=CC(C)C[*],Egc,5.7207,['C=CC(C)C']
1010,[*]CCC(C)=C([*])C,Egc,4.9429,"['CC', 'CCCC']"
1011,[*]C=CC(C[*])CC,Egc,5.4701,['C=CC(C)CC']
1012,[*]C=CC(C[*])CCC,Egc,5.7221,['C=CC(C)CCC']
1013,[*]C1C=CC([*])CC1,Egc,5.6051,['C1=CCCCC1']
1014,[*]CC([*])=C,Egc,5.3034,['C=CC']
1015,[*]C=CC(C)C([*])C,Egc,5.2899,['C=CC(C)CC']
1016,[*]C=CC(C)(C)C([*])(C)C,Egc,5.1816,['C=CC(C)(C)C(C)C']
1017,[*]C=CC(C(=O)OC(C)C)C([*])C(=O)OC(C)C,Egc,5.3094,"['C=CC(C=O)CC=O', 'O', 'CCC']"
1018,[*]C=CC(C)C([*])C(=O)OCCCC,Egc,5.2364,"['C=CC(C)CC=O', 'O', 'CCCC']"
1019,[*]CC(C)C=C([*])C,Egc,5.1994,"['CC', 'CC(C)C']"
1020,[*]C=CC=CCC[*],Egc,4.3008,"['C=CC', 'CCC']"
1021,[*]C1C=CC([*])C1,Egc,5.7164,['C1=CCCC1']
1022,[*]CO[*],Egc,6.6048,['CO']
1023,[*]OC([*])C,Egc,6.9003,"['O', 'CC']"
1024,[*]OC([*])CC,Egc,6.1349,"['O', 'CCC']"
1025,[*]OC([*])(C)C,Egc,6.2991,"['O', 'CCC']"
1026,[*]OC([*])CCC,Egc,6.6355,"['O', 'CCCC']"
1027,[*]OC([*])CCC#N,Egc,6.5576,"['O', 'CCCC#N']"
1028,[*]OC([*])CCCC,Egc,6.6222,"['O', 'CCCCC']"
1029,[*]OC([*])CCC(=O)OC,Egc,6.1873,"['CO', 'O', 'CCCC=O']"
1030,[*]CCO[*],Egc,5.5372,"['O', 'CC']"
1031,[*]CC(C)O[*],Egc,5.7517,"['O', 'CCC']"
1032,[*]CC(CCl)O[*],Egc,6.3441,"['O', 'CCCCl']"
1033,[*]CC(O[*])C(F)(F)F,Egc,6.7566,"['O', 'CCC(F)(F)F']"
1034,[*]CC(CBr)O[*],Egc,6.2128,"['O', 'CCCBr']"
1035,[*]CC(CF)O[*],Egc,6.1097,"['O', 'CCCF']"
1036,[*]CC(CC)O[*],Egc,5.7746,"['O', 'CCCC']"
1037,[*]CC(C=C)O[*],Egc,4.8923,"['O', 'C=CCC']"
1038,[*]CC(COC)O[*],Egc,5.5702,"['CO', 'O', 'CCC']"
1039,[*]CC(C)(C)O[*],Egc,5.2445,"['O', 'CC(C)C']"
1040,[*]CC(C)(CCl)O[*],Egc,5.7953,"['O', 'CC(C)CCl']"
1041,[*]CC(CCCC)O[*],Egc,5.4348,"['O', 'CCCCCC']"
1042,[*]CC(O[*])C(C)(C)C,Egc,5.5394,"['O', 'CCC(C)(C)C']"
1043,[*]CC(COCC)O[*],Egc,5.5518,"['CC', 'O', 'O', 'CCC']"
1044,[*]CC(COCC=C)O[*],Egc,5.2711,"['C=CC', 'O', 'O', 'CCC']"
1045,[*]CC(CC(C)(C)C)O[*],Egc,5.3855,"['O', 'CCCC(C)(C)C']"
1046,[*]CC(COCCCC)O[*],Egc,5.3487,"['CCCC', 'O', 'O', 'CCC']"
1047,[*]CC(CCCCCC)O[*],Egc,5.8686,"['O', 'CCCCCCCC']"
1048,[*]CC(COCCCCCC)O[*],Egc,5.6762,"['CCCCCC', 'O', 'CCC', 'O']"
1049,[*]CC(O[*])c1ccccc1,Egc,5.2866,"['O', 'CC', 'c1ccccc1']"
1050,[*]CC(COc1cccc(C)c1)O[*],Egc,5.1113,"['O', 'Cc1ccccc1', 'CCC', 'O']"
1051,[*]CC(COc1ccc(Cl)cc1)O[*],Egc,4.8901,"['O', 'Clc1ccccc1', 'CCC', 'O']"
1052,[*]CC(COc1c(Cl)cc(Cl)cc1Cl)O[*],Egc,4.5851,"['O', 'Clc1cc(Cl)cc(Cl)c1', 'CCC', 'O']"
1053,[*]OC(C)C([*])C,Egc,5.7581,"['O', 'CCCC']"
1054,[*]OC(F)(F)C([*])(F)F,Egc,9.8627,"['O', 'FC(F)C(F)F']"
1055,[*]CCCO[*],Egc,6.2459,"['O', 'CCC']"
1056,[*]CC(C)(C)CO[*],Egc,5.8123,"['O', 'CC(C)(C)C']"
1057,[*]CC(CO)(CO)CO[*],Egc,5.7959,"['O', 'CC(C)(CO)CO']"
1058,[*]CC(CBr)(CBr)CO[*],Egc,5.993,"['O', 'CC(C)(CBr)CBr']"
1059,[*]CCCCO[*],Egc,5.9284,"['O', 'CCCC']"
1060,[*]CCCCCCO[*],Egc,6.1189,"['O', 'CCCCCC']"
1061,[*]CCCCCCCCO[*],Egc,6.1709,"['O', 'CCCCCCCC']"
1062,[*]CCCCCCCCCO[*],Egc,6.1351,"['O', 'CCCCCCCCC']"
1063,[*]CCCCCCCCCCO[*],Egc,6.2252,"['O', 'CCCCCCCCCC']"
1064,[*]CCCCCCCCCCCCO[*],Egc,6.2452,"['O', 'CCCCCCCCCCCC']"
1065,[*]CC1(CO[*])CCC(C)CC1,Egc,5.8565,"['O', 'C', 'C', 'CC1CCCCC1']"
1066,[*]Oc1ccc([*])cc1,Egc,4.035,"['O', 'c1ccccc1']"
1067,[*]Oc1cccc([*])c1,Egc,4.9932,"['O', 'c1ccccc1']"
1068,[*]Oc1c(C)cc([*])cc1C,Egc,4.5265,"['O', 'Cc1cccc(C)c1']"
1069,[*]Oc1c(OC)cc([*])cc1OC,Egc,4.2534,"['O', 'CO', 'c1ccccc1']"
1070,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,Egc,3.9085,"['O', 'c1ccccc1', 'c1ccccc1']"
1071,[*]Oc1ccc(Cc2ccc([*])cc2)cc1,Egc,4.9481,"['O', 'c1ccccc1', 'c1ccccc1', 'C']"
1072,[*]OC1C(C)(C)C([*])C1(C)C,Egc,5.3323,"['O', 'CC1(C)CC(C)(C)C1']"
1073,[*]CC1CCC(COCO[*])CC1,Egc,6.4282,"['OCO', 'C', 'C', 'C1CCCCC1']"
1074,[*]CCOCO[*],Egc,6.6358,"['CC', 'OCO']"
1075,[*]CCCCOCO[*],Egc,6.4832,"['OCO', 'CCCC']"
1076,[*]CCCCCOCO[*],Egc,6.5668,"['OCO', 'CCCCC']"
1077,[*]CCCCCCOCO[*],Egc,6.7419,"['OCO', 'CCCCCC']"
1078,[*]CCCCCCCCCOCO[*],Egc,6.4692,"['OCO', 'CCCCCCCCC']"
1079,[*]CCCCCCCCCCOCO[*],Egc,6.4569,"['OCO', 'CCCCCCCCCC']"
