Unnamed: 0,smiles,property,value,polymer_automated_frag,polymer_automated_frag_aug
11,[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],Eat,-5.52,C,"[['C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O'], ['O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O'], ['C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N'], ['N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C'], ['C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C'], ['C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O'], ['O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C'], ['C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C'], ['C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C', 'O'], ['O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C', 'C'], ['C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N', 'C'], ['C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'N'], ['N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O', 'C=O'], ['C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C', 'O'], ['O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C', 'C'], ['C', 'O', 'C=O', 'N', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'N', 'C=O', 'O', 'C']]"
12,[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,Eat,-6.82,c1ccccc1,"[['c1ccccc1', 'c1nc2cc3ncoc3cc2o1'], ['c1nc2cc3ncoc3cc2o1', 'c1ccccc1']]"
13,[*]CCCCCS[*],Eat,-5.03,C,"[['C', 'C', 'C', 'C', 'C', 'S'], ['S', 'C', 'C', 'C', 'C', 'C'], ['C', 'S', 'C', 'C', 'C', 'C'], ['C', 'C', 'S', 'C', 'C', 'C'], ['C', 'C', 'C', 'S', 'C', 'C'], ['C', 'C', 'C', 'C', 'S', 'C']]"
14,[*]CCOC(=O)CCCCC(=O)O[*],Eat,-5.59,C,"[['C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C=O', 'O'], ['O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C=O'], ['C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C'], ['C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C'], ['C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C'], ['C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C'], ['C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O'], ['C=O', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O'], ['O', 'C=O', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C'], ['C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C']]"
15,[*]CCOC(=O)CCCCCCC(=O)O[*],Eat,-5.5,C,"[['C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'O'], ['O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O'], ['C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O', 'C=O'], ['C=O', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C', 'O'], ['O', 'C=O', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C', 'C'], ['C', 'O', 'C=O', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'O', 'C']]"
16,[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,Eat,-6.18,C,"[['C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O'], ['O', 'C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O'], ['C=O', 'O', 'C', 'C', 'O', 'C=O', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'O', 'C', 'C', 'O', 'C=O'], ['C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C', 'O'], ['O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C'], ['C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C']]"
17,[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,Eat,-5.97,C,"[['C', 'C', 'C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O'], ['O', 'C', 'C', 'C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O'], ['C=O', 'O', 'C', 'C', 'C', 'C', 'O', 'C=O', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'O', 'C', 'C', 'C', 'C', 'O', 'C=O'], ['C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C', 'C', 'C', 'O'], ['O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C', 'C', 'C'], ['C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C', 'C'], ['C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C', 'C'], ['C', 'C', 'C', 'O', 'C=O', 'c1ccccc1', 'C=O', 'O', 'C']]"
18,[*]CC(=O)O[*],Eat,-6.0,C,"[['C', 'C=O', 'O'], ['O', 'C', 'C=O'], ['C=O', 'O', 'C']]"
19,[*]CCCCCC(=O)O[*],Eat,-5.44,C,"[['C', 'C', 'C', 'C', 'C', 'C=O', 'O'], ['O', 'C', 'C', 'C', 'C', 'C', 'C=O'], ['C=O', 'O', 'C', 'C', 'C', 'C', 'C'], ['C', 'C=O', 'O', 'C', 'C', 'C', 'C'], ['C', 'C', 'C=O', 'O', 'C', 'C', 'C'], ['C', 'C', 'C', 'C=O', 'O', 'C', 'C'], ['C', 'C', 'C', 'C', 'C=O', 'O', 'C']]"
20,[*]CCC(=O)O[*],Eat,-5.73,C,"[['C', 'C', 'C=O', 'O'], ['O', 'C', 'C', 'C=O'], ['C=O', 'O', 'C', 'C'], ['C', 'C=O', 'O', 'C']]"
21,[*]Oc1ccc(CC([*])=O)cc1,Eat,-6.21,O,"[['O', 'c1ccccc1', 'C', 'C=O'], ['C=O', 'O', 'c1ccccc1', 'C'], ['C', 'C=O', 'O', 'c1ccccc1'], ['c1ccccc1', 'C', 'C=O', 'O']]"
22,[*]Cc1ccc(C(=O)O[*])cc1,Eat,-6.22,C,"[['C', 'c1ccccc1', 'C=O', 'O'], ['O', 'C', 'c1ccccc1', 'C=O'], ['C=O', 'O', 'C', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'O', 'C']]"
23,[*]CCC(=O)N[*],Eat,-5.69,C,"[['C', 'C', 'C=O', 'N'], ['N', 'C', 'C', 'C=O'], ['C=O', 'N', 'C', 'C'], ['C', 'C=O', 'N', 'C']]"
24,[*]CCCCCCC(=O)N[*],Eat,-5.39,C,"[['C', 'C', 'C', 'C', 'C', 'C', 'C=O', 'N'], ['N', 'C', 'C', 'C', 'C', 'C', 'C', 'C=O'], ['C=O', 'N', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C=O', 'N', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C=O', 'N', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C=O', 'N', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C=O', 'N', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C=O', 'N', 'C']]"
25,[*]CC(=O)N[*],Eat,-5.91,C,"[['C', 'C=O', 'N'], ['N', 'C', 'C=O'], ['C=O', 'N', 'C']]"
26,[*]Nc1cccc(C([*])=O)c1,Eat,-6.41,N,"[['N', 'c1ccccc1', 'C=O'], ['C=O', 'N', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'N']]"
27,[*]Cc1ccc(C(=O)N[*])cc1,Eat,-6.17,C,"[['C', 'c1ccccc1', 'C=O', 'N'], ['N', 'C', 'c1ccccc1', 'C=O'], ['C=O', 'N', 'C', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'N', 'C']]"
28,[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Eat,-5.79,C,"[['C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O'], ['O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O'], ['C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N'], ['N', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1'], ['Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'N'], ['N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O'], ['C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O'], ['O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C'], ['C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C', 'C'], ['C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C', 'C'], ['C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C', 'C'], ['C', 'C', 'C', 'C', 'O', 'C=O', 'N', 'Cc1ccccc1', 'N', 'C=O', 'O', 'C']]"
29,[*]CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,Eat,-6.25,C,"[['C', 'C', 'C', 'C', 'C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O'], ['N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C', 'C', 'C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O'], ['C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C', 'C', 'C', 'C', 'O=C1NC(=O)c2ccccc21'], ['O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'O=C1NC(=O)c2ccccc21', 'C=O', 'N1C(=O)c2ccccc2C1=O', 'C']]"
30,[*]OC(=O)c1ccc(C([*])=O)cc1,Eat,-6.57,O,"[['O', 'C=O', 'c1ccccc1', 'C=O'], ['C=O', 'O', 'C=O', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'O', 'C=O'], ['C=O', 'c1ccccc1', 'C=O', 'O']]"
31,[*]CCCCCOC(=O)O[*],Eat,-5.46,C,"[['C', 'C', 'C', 'C', 'C', 'O', 'C=O', 'O'], ['O', 'C', 'C', 'C', 'C', 'C', 'O', 'C=O'], ['C=O', 'O', 'C', 'C', 'C', 'C', 'C', 'O'], ['O', 'C=O', 'O', 'C', 'C', 'C', 'C', 'C'], ['C', 'O', 'C=O', 'O', 'C', 'C', 'C', 'C'], ['C', 'C', 'O', 'C=O', 'O', 'C', 'C', 'C'], ['C', 'C', 'C', 'O', 'C=O', 'O', 'C', 'C'], ['C', 'C', 'C', 'C', 'O', 'C=O', 'O', 'C']]"
32,[*]Oc1ccc(OC([*])=O)cc1,Eat,-6.41,O,"[['O', 'c1ccccc1', 'O', 'C=O'], ['C=O', 'O', 'c1ccccc1', 'O'], ['O', 'C=O', 'O', 'c1ccccc1'], ['c1ccccc1', 'O', 'C=O', 'O']]"
33,[*]CCCN[*],Eat,-5.18,C,"[['C', 'C', 'C', 'N'], ['N', 'C', 'C', 'C'], ['C', 'N', 'C', 'C'], ['C', 'C', 'N', 'C']]"
34,[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,Eat,-6.4,O,"[['O', 'c1ccccc1', 'C=O', 'c1ccccc1'], ['c1ccccc1', 'O', 'c1ccccc1', 'C=O'], ['C=O', 'c1ccccc1', 'O', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'c1ccccc1', 'O']]"
35,[*]c1ccc([*])cc1,Eat,-6.39,c1ccc()cc1,[['c1ccc()cc1']]
36,[*]CCc1ccc(-c2ccc([*])cc2)cc1,Eat,-6.09,C,"[['C', 'C', 'c1ccccc1', 'c1ccccc1'], ['c1ccccc1', 'C', 'C', 'c1ccccc1'], ['c1ccccc1', 'c1ccccc1', 'C', 'C'], ['C', 'c1ccccc1', 'c1ccccc1', 'C']]"
37,[*]OC1C(CO)OC([*])C(O)C1O,Eat,-5.48,O,"[['O', 'C1OC(CO)CC(O)C1O'], ['C1OC(CO)CC(O)C1O', 'O']]"
38,[*]Cc1ccc(CO[*])cc1,Eat,-5.89,C,"[['C', 'c1ccccc1', 'C', 'O'], ['O', 'C', 'c1ccccc1', 'C'], ['C', 'O', 'C', 'c1ccccc1'], ['c1ccccc1', 'C', 'O', 'C']]"
39,[*]CCOCCOC(=O)O[*],Eat,-5.52,C,"[['C', 'C', 'O', 'C', 'C', 'O', 'C=O', 'O'], ['O', 'C', 'C', 'O', 'C', 'C', 'O', 'C=O'], ['C=O', 'O', 'C', 'C', 'O', 'C', 'C', 'O'], ['O', 'C=O', 'O', 'C', 'C', 'O', 'C', 'C'], ['C', 'O', 'C=O', 'O', 'C', 'C', 'O', 'C'], ['C', 'C', 'O', 'C=O', 'O', 'C', 'C', 'O'], ['O', 'C', 'C', 'O', 'C=O', 'O', 'C', 'C'], ['C', 'O', 'C', 'C', 'O', 'C=O', 'O', 'C']]"
40,[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,Eat,-5.18,C,"[['C', 'C', 'FC(F)(F)CC(F)(F)F', 'O'], ['O', 'C', 'C', 'FC(F)(F)CC(F)(F)F'], ['FC(F)(F)CC(F)(F)F', 'O', 'C', 'C'], ['C', 'FC(F)(F)CC(F)(F)F', 'O', 'C']]"
41,[*]c1ccc([*])s1,Eat,-6.18,c1ccc()s1,[['c1ccc()s1']]
42,[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,Eat,-6.44,O,"[['O', 'c1ccccc1', 'c1ccccc1', 'C=O'], ['C=O', 'O', 'c1ccccc1', 'c1ccccc1'], ['c1ccccc1', 'C=O', 'O', 'c1ccccc1'], ['c1ccccc1', 'c1ccccc1', 'C=O', 'O']]"
43,[*]Nc1ccc([*])cc1,Eat,-6.21,N,"[['N', 'c1ccccc1'], ['c1ccccc1', 'N']]"
44,[*]c1cccc([*])n1,Eat,-6.6,c1cccc()n1,[['c1cccc()n1']]
45,[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],Eat,-5.9,C,"[['C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1'], ['Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C'], ['C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1'], ['Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C'], ['C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1'], ['Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C'], ['C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1'], ['Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C', 'Cc1ccccc1', 'C']]"
46,[*]C(S1)=CC=C1C(S2)=CC=C2[*],Eat,-6.18,c1cccs1,"[['c1cccs1', 'c1cccs1'], ['c1cccs1', 'c1cccs1']]"
47,[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],Eat,-6.81,c1nc2ccccc2o1,"[['c1nc2ccccc2o1', 'c1ccc2ocnc2c1'], ['c1ccc2ocnc2c1', 'c1nc2ccccc2o1']]"
48,[*]CC(C=C1)=CC=C1C[*],Eat,-5.84,C,"[['C', 'c1ccccc1', 'C'], ['C', 'C', 'c1ccccc1'], ['c1ccccc1', 'C', 'C']]"
