,smiles,property,value
35,[*]c1ccc([*])cc1,Eat,-6.39
36,[*]CCc1ccc(-c2ccc([*])cc2)cc1,Eat,-6.09
37,[*]OC1C(CO)OC([*])C(O)C1O,Eat,-5.48
38,[*]Cc1ccc(CO[*])cc1,Eat,-5.89
39,[*]CCOCCOC(=O)O[*],Eat,-5.52
40,[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,Eat,-5.18
41,[*]c1ccc([*])s1,Eat,-6.18
42,[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,Eat,-6.44
43,[*]Nc1ccc([*])cc1,Eat,-6.21
44,[*]c1cccc([*])n1,Eat,-6.6
45,[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],Eat,-5.9
46,[*]C(S1)=CC=C1C(S2)=CC=C2[*],Eat,-6.18
47,[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],Eat,-6.81
48,[*]CC(C=C1)=CC=C1C[*],Eat,-5.84
49,[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],Eat,-5.41
50,[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],Eat,-5.99
51,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],Eat,-6.13
52,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.12
53,[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eat,-6.07
54,[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eat,-6.04
55,[*]C(S1)=CC=C1C(=S)OC(=S)[*],Eat,-5.95
56,[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],Eat,-6.02
57,[*]C(S1)=CC=C1OC(=S)O[*],Eat,-5.94
58,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Eat,-6.24
59,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.21
60,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eat,-6.28
61,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eat,-6.27
62,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],Eat,-6.29
63,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],Eat,-6.22
64,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],Eat,-6.21
65,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eat,-6.17
66,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.29
67,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eat,-6.34
68,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eat,-6.31
69,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],Eat,-6.34
70,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],Eat,-6.29
71,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],Eat,-6.16
72,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eat,-6.18
73,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],Eat,-6.17
74,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],Eat,-6.28
75,[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],Eat,-6.13
76,[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],Eat,-6.18
77,[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],Eat,-6.21
78,[*]C(C=C1)=CC=C1OC(=S)O[*],Eat,-6.18
79,[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.03
80,[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-5.95
81,[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],Eat,-5.95
82,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.12
83,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.05
84,[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.09
85,[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],Eat,-5.81
86,[*]CC(S1)=CC=C1CC(=S)[*],Eat,-5.65
87,[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.08
88,[*]CC(S1)=CC=C1C(=O)C(=S)[*],Eat,-5.99
89,[*]CC(S1)=CC=C1C(=O)O[*],Eat,-6.07
90,[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-5.94
91,[*]CC(S1)=CC=C1C(=S)O[*],Eat,-5.82
92,[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],Eat,-5.9
93,[*]CC(S1)=CC=C1NC(=S)[*],Eat,-5.77
94,[*]CC(S1)=CC=C1NO[*],Eat,-5.66
95,[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-5.92
96,[*]CC(S1)=CC=C1OC(=S)[*],Eat,-5.78
97,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.12
98,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.2
99,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.08
100,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.19
101,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.26
102,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.17
103,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.2
104,[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],Eat,-5.99
105,[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eat,-6.09
106,[*]CC(C=C1)=CC=C1CC(=S)[*],Eat,-5.85
107,[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.2
108,[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eat,-6.29
109,[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.14
110,[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6.07
111,[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.17
112,[*]CC(C=C1)=CC=C1C(=S)O[*],Eat,-6.0
113,[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eat,-6.04
114,[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],Eat,-6.15
115,[*]CC(C=C1)=CC=C1NC(=S)[*],Eat,-5.97
116,[*]CC(C=C1)=CC=C1NO[*],Eat,-5.9
117,[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.08
118,[*]CC(C=C1)=CC=C1OC(=S)[*],Eat,-6.0
119,[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],Eat,-5.86
120,[*]CCC(S1)=CC=C1C(=S)[*],Eat,-5.69
121,[*]CCC(S1)=CC=C1O[*],Eat,-5.67
122,[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-5.98
123,[*]CCC(C=C1)=CC=C1C(=S)[*],Eat,-5.87
124,[*]CCC(C=C1)=CC=C1O[*],Eat,-5.89
125,[*]CCCC(S1)=CC=C1[*],Eat,-5.57
126,[*]CCCC(C=C1)=CC=C1[*],Eat,-5.78
127,[*]CCCC(=O)[*],Eat,-5.52
128,[*]CCCC(=S)[*],Eat,-5.22
129,[*]CCC(=O)C(S1)=CC=C1[*],Eat,-5.9
130,[*]CCC(=O)C(C=C1)=CC=C1[*],Eat,-6.05
131,[*]CCC(=O)C(=S)[*],Eat,-5.61
132,[*]CCC(=S)O[*],Eat,-5.34
133,[*]CCNC(S1)=CC=C1[*],Eat,-5.63
134,[*]CCNC(C=C1)=CC=C1[*],Eat,-5.85
135,[*]CCNC(=S)[*],Eat,-5.36
136,[*]CCON[*],Eat,-5.12
137,[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],Eat,-6.12
138,[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.21
139,[*]CC(=O)C(S1)=CC=C1C(=O)[*],Eat,-6.21
140,[*]CC(=O)C(S1)=CC=C1C(=S)[*],Eat,-6.0
141,[*]CC(=O)C(S1)=CC=C1O[*],Eat,-6.03
142,[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.2
143,[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.29
144,[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],Eat,-6.34
145,[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],Eat,-6.15
146,[*]CC(=O)C(C=C1)=CC=C1O[*],Eat,-6.19
147,[*]CC(=O)CC(S1)=CC=C1[*],Eat,-5.87
148,[*]CC(=O)CC(C=C1)=CC=C1[*],Eat,-6.05
149,[*]CC(=O)CC(=O)[*],Eat,-5.95
150,[*]CC(=O)CC(=S)[*],Eat,-5.62
151,[*]CC(=O)CO[*],Eat,-5.62
152,[*]CC(=O)C(=S)C(S1)=CC=C1[*],Eat,-6.0
153,[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],Eat,-6.15
154,[*]CC(=O)C(=S)C(=O)[*],Eat,-6.06
155,[*]CC(=O)C(=S)O[*],Eat,-5.8
156,[*]CC(=O)NC(S1)=CC=C1[*],Eat,-6.01
157,[*]CC(=O)NC(C=C1)=CC=C1[*],Eat,-6.16
158,[*]CC(=O)NC(=O)[*],Eat,-6.2
159,[*]CC(=O)NC(=S)[*],Eat,-5.8
160,[*]CC(=O)OC(S1)=CC=C1[*],Eat,-6.05
161,[*]CC(=O)OC(=O)[*],Eat,-6.3
162,[*]CC(=O)OC(=S)[*],Eat,-5.87
163,[*]CC(=S)C(S1)=CC=C1C(=S)[*],Eat,-5.78
164,[*]CC(=S)C(S1)=CC=C1O[*],Eat,-5.8
165,[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],Eat,-5.91
166,[*]CC(=S)C(C=C1)=CC=C1N[*],Eat,-5.95
167,[*]CC(=S)C(C=C1)=CC=C1O[*],Eat,-5.99
168,[*]CC(=S)CC(=S)[*],Eat,-5.3
169,[*]CC(=S)CO[*],Eat,-5.27
170,[*]CC(=S)C(=O)C(=S)[*],Eat,-5.79
171,[*]CC(=S)C(=O)O[*],Eat,-5.84
172,[*]CC(=S)NC(=S)[*],Eat,-5.43
173,[*]CC(=S)NO[*],Eat,-5.27
174,[*]CC(=S)OC(=S)[*],Eat,-5.45
175,[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.04
176,[*]CNC(S1)=CC=C1C(=O)[*],Eat,-6.0
177,[*]CNC(S1)=CC=C1C(=S)[*],Eat,-5.78
178,[*]CNC(S1)=CC=C1N[*],Eat,-5.7
179,[*]CNC(S1)=CC=C1O[*],Eat,-5.74
180,[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.05
181,[*]CNC(C=C1)=CC=C1C(=O)[*],Eat,-6.14
182,[*]CNC(C=C1)=CC=C1N[*],Eat,-5.93
183,[*]CNC(C=C1)=CC=C1O[*],Eat,-5.98
184,[*]CNCC(S1)=CC=C1[*],Eat,-5.61
185,[*]CNCC(C=C1)=CC=C1[*],Eat,-5.84
186,[*]CNCC(=O)[*],Eat,-5.59
187,[*]CNCC(=S)[*],Eat,-5.26
188,[*]CNCN[*],Eat,-5.22
189,[*]CNCO[*],Eat,-5.27
190,[*]CNC(=O)C(S1)=CC=C1[*],Eat,-6.02
191,[*]CNC(=O)C(=S)[*],Eat,-5.8
192,[*]CNC(=S)C(S1)=CC=C1[*],Eat,-5.79
193,[*]CNC(=S)C(C=C1)=CC=C1[*],Eat,-5.96
194,[*]CNC(=S)C(=O)[*],Eat,-5.79
195,[*]CNC(=S)N[*],Eat,-5.48
196,[*]CNC(=S)O[*],Eat,-5.49
197,[*]CNOC(S1)=CC=C1[*],Eat,-5.66
198,[*]CNOC(C=C1)=CC=C1[*],Eat,-5.9
199,[*]CNOC(=S)[*],Eat,-5.28
200,[*]CNON[*],Eat,-5.01
201,[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.07
202,[*]COC(S1)=CC=C1O[*],Eat,-5.78
203,[*]COC(C=C1)=CC=C1O[*],Eat,-6.03
204,[*]COC(=O)O[*],Eat,-5.97
205,[*]COC(=S)O[*],Eat,-5.47
206,[*]CONC(=O)[*],Eat,-5.69
207,[*]CONO[*],Eat,-5.08
208,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.27
209,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.22
210,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],Eat,-6.27
211,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.34
212,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.29
213,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.38
214,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.37
215,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],Eat,-6.33
216,[*]C(=O)C(S1)=CC=C1C(=O)O[*],Eat,-6.49
217,[*]C(=O)C(S1)=CC=C1C(=S)O[*],Eat,-6.21
218,[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.22
219,[*]C(=O)C(S1)=CC=C1OC(=S)[*],Eat,-6.17
220,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.38
221,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],Eat,-6.35
222,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.42
223,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.37
224,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.45
225,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eat,-6.51
226,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.42
227,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],Eat,-6.35
228,[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.33
229,[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],Eat,-6.3
230,[*]C(=O)C(=S)OC(=S)[*],Eat,-5.98
231,[*]C(=O)OC(S1)=CC=C1C(=S)[*],Eat,-6.21
232,[*]C(=O)OC(S1)=CC=C1O[*],Eat,-6.25
233,[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],Eat,-6.32
234,[*]C(=O)OC(=O)O[*],Eat,-6.78
235,[*]C(=O)OC(=S)O[*],Eat,-6.2
236,[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.09
237,[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],Eat,-5.92
238,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],Eat,-6.22
239,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.05
240,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.18
241,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.15
242,[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.18
243,[*]NC(S1)=CC=C1C(=O)C(=S)[*],Eat,-6.15
244,[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6.0
245,[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.15
246,[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],Eat,-5.96
247,[*]NC(S1)=CC=C1NC(=S)[*],Eat,-5.89
248,[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-5.99
249,[*]NC(S1)=CC=C1OC(=S)[*],Eat,-5.92
250,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.18
251,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.26
252,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.18
253,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.26
254,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.31
255,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],Eat,-6.15
256,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.25
257,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.21
258,[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.29
259,[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.27
260,[*]NC(C=C1)=CC=C1C(=O)O[*],Eat,-6.22
261,[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.23
262,[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eat,-6.11
263,[*]NC(C=C1)=CC=C1NO[*],Eat,-5.91
264,[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.14
265,[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],Eat,-6.26
266,[*]NC(C=C1)=CC=C1OC(=S)[*],Eat,-6.14
267,[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.33
268,[*]NC(=O)C(S1)=CC=C1C(=O)[*],Eat,-6.4
269,[*]NC(=O)C(S1)=CC=C1C(=S)[*],Eat,-6.14
270,[*]NC(=O)C(S1)=CC=C1O[*],Eat,-6.08
271,[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.31
272,[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.4
273,[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],Eat,-6.28
274,[*]NC(=O)C(C=C1)=CC=C1O[*],Eat,-6.24
275,[*]NC(=O)C(=S)C(S1)=CC=C1[*],Eat,-6.16
276,[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],Eat,-6.26
277,[*]NC(=O)C(=S)C(=O)[*],Eat,-6.35
278,[*]NC(=O)C(=S)O[*],Eat,-5.88
279,[*]NC(=O)NC(S1)=CC=C1[*],Eat,-6.15
280,[*]NC(=O)NC(C=C1)=CC=C1[*],Eat,-6.31
281,[*]NC(=O)NC(=O)[*],Eat,-6.46
282,[*]NC(=O)NC(=S)[*],Eat,-6.02
283,[*]NC(=O)NO[*],Eat,-5.7
284,[*]NC(=O)OC(S1)=CC=C1[*],Eat,-6.2
285,[*]NC(=O)OC(C=C1)=CC=C1[*],Eat,-6.35
286,[*]NC(=O)OC(=S)[*],Eat,-6.1
287,[*]NC(=S)C(=C1)SC(=C1)C(=S)[*],Eat,-5.92
288,[*]NC(=S)C(S1)=CC=C1O[*],Eat,-5.82
289,[*]NC(=S)C(C=C1)=CC=C1O[*],Eat,-6.02
290,[*]NC(=S)C(=O)C(=S)[*],Eat,-5.94
291,[*]NC(=S)C(=O)O[*],Eat,-5.89
292,[*]NC(=S)NC(C=C1)=CC=C1[*],Eat,-6.09
293,[*]NC(=S)NC(=S)[*],Eat,-5.69
294,[*]NC(=S)NO[*],Eat,-5.23
295,[*]NC(=S)OC(=S)[*],Eat,-5.64
296,[*]NOC(C=C1)=CC=C1O[*],Eat,-5.98
297,[*]NOC(=O)O[*],Eat,-5.77
298,[*]NOC(=S)O[*],Eat,-5.2
299,[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],Eat,-6.15
300,[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2CC(C=C3)=CC=C3[*],Eat,-6.09
301,[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eat,-6.09
302,[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],Eat,-5.83
303,[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],Eat,-6.48
304,[*]NC(=O)OC(=O)[*],Eat,-6.61
305,[*]C(=O)C(=S)C(=O)O[*],Eat,-6.47
306,[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],Eat,-6.01
307,[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],Eat,-5.81
308,[*]CNCCCOCO[*],Eat,-5.21
309,[*]CNCNC(=O)NC(=O)N[*],Eat,-5.84
310,[*]CNC(=O)NCOCO[*],Eat,-5.58
311,[*]CNC(=O)ONC(=O)NO[*],Eat,-5.82
312,[*]COCOCCCO[*],Eat,-5.22
313,[*]COC(=O)NCCNC[*],Eat,-5.49
314,[*]C(=O)NC(=O)CNC(=O)ON[*],Eat,-6.11
315,[*]C(=O)NC(=O)NCCCN[*],Eat,-5.77
316,[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],Eat,-6.29
317,[*]C(=O)NC(=O)OC(=O)NCN[*],Eat,-6.22
318,[*]C(=O)NOCCCCO[*],Eat,-5.44
319,[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],Eat,-6.35
320,[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eat,-5.83
321,[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],Eat,-5.65
322,[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],Eat,-5.68
323,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eat,-5.99
324,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],Eat,-6.06
325,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],Eat,-5.84
326,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],Eat,-5.92
327,[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],Eat,-5.66
328,[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],Eat,-5.67
329,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-5.98
330,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.1
331,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],Eat,-5.85
332,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],Eat,-5.89
333,[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],Eat,-5.59
334,[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],Eat,-5.78
335,[*]C(F)(F)C(F)(F)CC(=O)[*],Eat,-5.5
336,[*]C(F)(F)C(F)(F)CC(=S)[*],Eat,-5.19
337,[*]C(F)(F)C(F)(F)CN[*],Eat,-5.24
338,[*]C(F)(F)C(F)(F)CO[*],Eat,-5.23
339,[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],Eat,-5.86
340,[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],Eat,-6.03
341,[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],Eat,-5.51
342,[*]C(F)(F)C(F)(F)C(=S)O[*],Eat,-5.26
343,[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],Eat,-5.66
344,[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],Eat,-5.86
345,[*]C(F)(F)C(F)(F)NC(=O)[*],Eat,-5.65
346,[*]C(F)(F)C(F)(F)NC(=S)[*],Eat,-5.29
347,[*]C(F)(F)C(F)(F)ON[*],Eat,-5.15
348,[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],Eat,-5.59
349,[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],Eat,-5.8
350,[*]C(F)(F)CC(F)(F)C(=O)[*],Eat,-5.48
351,[*]C(F)(F)CC(F)(F)C(=S)[*],Eat,-5.2
352,[*]C(F)(F)CC(F)(F)N[*],Eat,-5.26
353,[*]C(F)(F)CC(F)(F)O[*],Eat,-5.25
354,[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],Eat,-5.77
355,[*]C(F)(F)C(=O)C(F)(F)O[*],Eat,-5.57
