Unnamed: 0,smiles,property,value,smiles_no_dummy,selfies,BigSMILES
850,[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,Egc,4.7078,CCC(C)c1ccc(C(=O)OCCCCCC)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][=C][Ring1][#C],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C(=O)OCCCCCC)cc1[>][]}
852,[*]CC([*])c1ccc(C(=O)c2ccccc2)cc1,Egc,3.5289,CCC(C)c1ccc(C(=O)c2ccccc2)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C(=O)c2ccccc2)cc1[>][]}
853,[*]CC([*])c1ccc(F)cc1,Egc,2.0489,CCC(C)c1ccc(F)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*Cc1ccc(F)cc1[>][]}
854,[*]CC([*])c1ccc(C)cc1C,Egc,4.8585,CCC(C)c1ccc(C)cc1C,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C)cc1C[>][]}
855,[*]CC([*])c1cc(C)ccc1C,Egc,4.9137,CCC(C)c1cc(C)ccc1C,[C][C][C][Branch1][C][C][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C],{[][<]*C[>][<]}{[>][<]*Cc1cc(C)ccc1C[>][]}
856,[*]CC([*])c1cc(Cl)ccc1Cl,Egc,2.6378,CCC(C)c1cc(Cl)ccc1Cl,[C][C][C][Branch1][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl],{[][<]*C[>][<]}{[>][<]*Cc1cc(Cl)ccc1Cl[>][]}
858,[*]CC([*])c1cc(Br)ccc1OCCCC,Egc,4.5078,CCC(C)c1cc(Br)ccc1OCCCC,[C][C][C][Branch1][C][C][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][C][C][C],{[][<]*C[>][<]}{[>][<]*Cc1cc(Br)ccc1OCCCC[>][]}
859,[*]CC([*])c1cc(Br)ccc1OCC,Egc,4.458,CCC(C)c1cc(Br)ccc1OCC,[C][C][C][Branch1][C][C][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][C],{[][<]*C[>][<]}{[>][<]*Cc1cc(Br)ccc1OCC[>][]}
860,[*]CC([*])c1cc(Br)ccc1OC(C)C,Egc,4.6199,CCC(C)c1cc(Br)ccc1OC(C)C,[C][C][C][Branch1][C][C][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*Cc1cc(Br)ccc1OC(C)C[>][]}
861,[*]CC([*])c1ccc(C)c(C)c1,Egc,4.4861,CCC(C)c1ccc(C)c(C)c1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C)c(C)c1[>][]}
862,[*]CC([*])c1ccc(Cl)c(C)c1,Egc,4.762,CCC(C)c1ccc(Cl)c(C)c1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][C][=C][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*Cc1ccc(Cl)c(C)c1[>][]}
863,[*]CC([*])c1ccc(Cl)c(Cl)c1,Egc,2.3069,CCC(C)c1ccc(Cl)c(Cl)c1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*Cc1ccc(Cl)c(Cl)c1[>][]}
864,[*]C(F)(F)C([*])(F)c1ccccc1,Egc,5.6014,CC(F)(F)C(C)(F)c1ccccc1,[C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][C][Branch1][C][F][C][=C][C][=C][C][=C][Ring1][=Branch1],{[][<]*C(F)F[>][<]}{[>][<]*C(F)c1ccccc1[>][]}
865,[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,Egc,3.2629,CCC(C)c1ccc(C(=O)CCN2CCOCC2)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][S],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C(=O)CCN2CCOCC2)cc1[>][]}
866,[*]CC([*])c1ccc2ccccc2c1,Egc,3.6351,CCC(C)c1ccc2ccccc2c1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],{[][<]*C[>][<]}{[>][<]*Cc1ccc2ccccc2c1[>][]}
867,[*]CC([*])c1ccncc1,Egc,2.5368,CCC(C)c1ccncc1,[C][C][C][Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*Cc1ccncc1[>][]}
868,[*]CC([*])c1cccc(C)n1,Egc,5.0497,CCC(C)c1cccc(C)n1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][Branch1][C][C][=N][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*Cc1cccc(C)n1[>][]}
869,[*]CC([*])c1ccc(C)nc1,Egc,4.8601,CCC(C)c1ccc(C)nc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C)nc1[>][]}
870,[*]CC([*])n1cc2ccccc2n1,Egc,3.7572,CCC(C)n1cc2ccccc2n1,[C][C][C][Branch1][C][C][N][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2],{[][<]*C[>][<]}{[>][<]*Cn1cc2ccccc2n1[>][]}
871,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,Egc,5.5884,CCC(CC(C)(C#N)C(=O)OC)c1ccccc1,[C][C][C][Branch1][S][C][C][Branch1][C][C][Branch1][Ring1][C][#N][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]*C(C#N)C(=O)OC[>][]}
872,[*]CC([*])O,Egc,6.3648,CCC(C)O,[C][C][C][Branch1][C][C][O],{[][<]*C[>][<]}{[>][<]*CO[>][]}
873,[*]CC([*])C#N,Egc,7.7741,CCC(C)C#N,[C][C][C][Branch1][C][C][C][#N],{[][<]*C[>][<]}{[>][<]*CC#N[>][]}
874,[*]CC([*])(C)C#N,Egc,7.6319,CCC(C)(C)C#N,[C][C][C][Branch1][C][C][Branch1][C][C][C][#N],{[][<]*C[>][<]}{[>][<]*C(C)C#N[>][]}
875,[*]CC([*])n1c2ccccc2c2ccccc21,Egc,4.0449,CCC(C)n1c2ccccc2c2ccccc21,[C][C][C][Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N],{[][<]*C[>][<]}{[>][<]*Cn1c2ccccc2c2ccccc21[>][]}
876,[*]CC([*])OC,Egc,5.5335,CCC(C)OC,[C][C][C][Branch1][C][C][O][C],{[][<]*C[>][<]}{[>][<]*COC[>][]}
877,[*]CC([*])OCCCCC,Egc,5.9056,CCC(C)OCCCCC,[C][C][C][Branch1][C][C][O][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]*COCCCCC[>][]}
878,[*]CC([*])OC(C)=O,Egc,6.8523,CCC(C)OC(C)=O,[C][C][C][Branch1][C][C][O][C][Branch1][C][C][=O],{[][<]*C[>][<]}{[>][<]*COC(C)=O[>][]}
879,[*]CC([*])OC(=O)CC,Egc,6.5454,CCC(C)OC(=O)CC,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][C],{[][<]*C[>][<]}{[>][<]*COC(=O)CC[>][]}
881,[*]CC([*])OCc1ccccc1,Egc,5.0639,CCC(C)OCc1ccccc1,[C][C][C][Branch1][C][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*COCc1ccccc1[>][]}
882,[*]CC([*])OC(=O)C(F)(F)F,Egc,6.7842,CCC(C)OC(=O)C(F)(F)F,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*COC(=O)C(F)(F)F[>][]}
884,[*]C=CCC(C)(CC[*])C(=O)OC,Egc,5.4945,CC=CCC(C)(CCC)C(=O)OC,[C][C][=C][C][C][Branch1][C][C][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][O][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]CCC(=O)OC[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
885,[*]CC([*])CCc1ccc(C)cc1,Egc,5.1686,CCC(C)CCc1ccc(C)cc1,[C][C][C][Branch1][C][C][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*CCCc1ccc(C)cc1[>][]}
886,[*]CC([*])OCCCCCCCCCCCC,Egc,5.4919,CCC(C)OCCCCCCCCCCCC,[C][C][C][Branch1][C][C][O][C][C][C][C][C][C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]*COCCCCCCCCCCCC[>][]}
887,[*]C(C)C([*])OC,Egc,5.326,CC(C)C(C)OC,[C][C][Branch1][C][C][C][Branch1][C][C][O][C],{[][<]*CC[>][<]}{[>][<]*COC[>][]}
888,[*]C1CC([*])(C#N)C1,Egc,6.8104,CC1CC(C)(C#N)C1,[C][C][C][C][Branch1][C][C][Branch1][Ring1][C][#N][C][Ring1][#Branch1],C1CC()(C#N)C1
889,[*]C(C)C([*])O,Egc,6.0639,CC(C)C(C)O,[C][C][Branch1][C][C][C][Branch1][C][C][O],{[][<]*CC[>][<]}{[>][<]*CO[>][]}
890,[*]CC([*])C(=O)C(C)(C)C,Egc,5.3334,CCC(C)C(=O)C(C)(C)C,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*CC(=O)C(C)(C)C[>][]}
891,[*]CC([*])C(=O)c1ccccc1O,Egc,1.7298,CCC(C)C(=O)c1ccccc1O,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],{[][<]*C[>][<]}{[>][<]*CC(=O)c1ccccc1O[>][]}
892,[*]C([*])O,Egc,6.4482,CC(C)O,[C][C][Branch1][C][C][O],C()O
894,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)F,Egc,8.7447,CC(F)(F)C(C)(F)OC(F)(F)C(F)(F)F,[C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][C][Branch1][C][F][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C(F)F[>][<]}{[>][<]*C(F)OC(F)(F)C(F)(F)F[>][]}
896,[*]C(F)C([*])(F)OC(F)(F)F,Egc,8.1265,CC(F)C(C)(F)OC(F)(F)F,[C][C][Branch1][C][F][C][Branch1][C][C][Branch1][C][F][O][C][Branch1][C][F][Branch1][C][F][F],{[][<]*CF[>][<]}{[>][<]*C(F)OC(F)(F)F[>][]}
897,[*]C(F)(F)C([*])(F)OC(F)(F)F,Egc,8.2947,CC(F)(F)C(C)(F)OC(F)(F)F,[C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][C][Branch1][C][F][O][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C(F)F[>][<]}{[>][<]*C(F)OC(F)(F)F[>][]}
898,[*]CC([*])SC,Egc,5.023,CCC(C)SC,[C][C][C][Branch1][C][C][S][C],{[][<]*C[>][<]}{[>][<]*CSC[>][]}
900,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,Egc,3.8338,CCC(C)C(=O)c1ccc(Br)c(OC)c1,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][C][Branch1][Ring1][O][C][=C][Ring1][=Branch2],{[][<]*C[>][<]}{[>][<]*CC(=O)c1ccc(Br)c(OC)c1[>][]}
901,[*]CC([*])C(=O)c1ccc(CC)cc1,Egc,4.27,CCC(C)C(=O)c1ccc(CC)cc1,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][C][C][=C][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*CC(=O)c1ccc(CC)cc1[>][]}
902,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,Egc,4.6237,CCC(C)OC(=O)c1ccc(OC(C)=O)cc1,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2],{[][<]*C[>][<]}{[>][<]*COC(=O)c1ccc(OC(C)=O)cc1[>][]}
903,[*]CC([*])OC(=O)c1cccc(Br)c1,Egc,4.2289,CCC(C)OC(=O)c1cccc(Br)c1,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*COC(=O)c1cccc(Br)c1[>][]}
905,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.4207,CCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*COC(=O)C(F)(F)C(F)(F)C(F)(F)F[>][]}
906,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,Egc,6.6309,CCC(C)OC(=O)C(F)(F)C(F)(F)F,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*COC(=O)C(F)(F)C(F)(F)F[>][]}
907,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Egc,6.4713,CCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F[>][]}
908,[*]CC([*])OC(=O)c1ccc(OC)cc1,Egc,4.435,CCC(C)OC(=O)c1ccc(OC)cc1,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*COC(=O)c1ccc(OC)cc1[>][]}
909,[*]CC([*])OC(=O)c1cccnc1,Egc,4.7397,CCC(C)OC(=O)c1cccnc1,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*COC(=O)c1cccnc1[>][]}
910,[*]CC([*])OC(=O)C(C)(C)C,Egc,6.1579,CCC(C)OC(=O)C(C)(C)C,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*COC(=O)C(C)(C)C[>][]}
913,[*]CC([*])c1cccs1,Egc,1.7879,CCC(C)c1cccs1,[C][C][C][Branch1][C][C][C][=C][C][=C][S][Ring1][Branch1],{[][<]*C[>][<]}{[>][<]*Cc1cccs1[>][]}
914,[*]CC([*])OCCCl,Egc,6.0339,CCC(C)OCCCl,[C][C][C][Branch1][C][C][O][C][C][Cl],{[][<]*C[>][<]}{[>][<]*COCCCl[>][]}
915,[*]CC([*])c1nc(C)nc(C)n1,Egc,5.2445,CCC(C)c1nc(C)nc(C)n1,[C][C][C][Branch1][C][C][C][=N][C][Branch1][C][C][=N][C][Branch1][C][C][=N][Ring1][Branch2],{[][<]*C[>][<]}{[>][<]*Cc1nc(C)nc(C)n1[>][]}
916,[*]CC([*])OC(=O)CCCCC,Egc,6.3448,CCC(C)OC(=O)CCCCC,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]*COC(=O)CCCCC[>][]}
917,[*]CC(OC)C1C(=O)OC(=O)C1[*],Egc,5.9975,CCC(OC)C1C(=O)OC(=O)C1C,[C][C][C][Branch1][Ring1][O][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][Ring1][#Branch1][C],{[][<]*C[>][<]}{[>][<]COC[>][<]}{[>][<]*C1CC(=O)OC1=O[>][]}
918,[*]CC(OC)C(C(=O)O)C([*])C(=O)O,Egc,6.3287,CCC(OC)C(C(=O)O)C(C)C(=O)O,[C][C][C][Branch1][Ring1][O][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][C][=Branch1][C][=O][O],{[][<]*C[>][<]}{[>][<]COC[>][<]}{[>][<]CC(=O)O[>][<]}{[>][<]*CC(=O)O[>][]}
919,[*]CC([*])n1ccnc1,Egc,4.8897,CCC(C)n1ccnc1,[C][C][C][Branch1][C][C][N][C][=C][N][=C][Ring1][Branch1],{[][<]*C[>][<]}{[>][<]*Cn1ccnc1[>][]}
920,[*]CC([*])C(=O)c1ccc(Br)cc1,Egc,1.5897,CCC(C)C(=O)c1ccc(Br)cc1,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*CC(=O)c1ccc(Br)cc1[>][]}
921,[*]CC([*])OC(=O)CC1CCCC1,Egc,6.5327,CCC(C)OC(=O)CC1CCCC1,[C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][Branch1],{[][<]*C[>][<]}{[>][<]*COC(=O)CC1CCCC1[>][]}
922,[*]CC([*])N1CCCC1=O,Egc,5.4797,CCC(C)N1CCCC1=O,[C][C][C][Branch1][C][C][N][C][C][C][C][Ring1][Branch1][=O],{[][<]*C[>][<]}{[>][<]*CN1CCCC1=O[>][]}
924,[*]CC([*])C(=O)OCC,Egc,6.2551,CCC(C)C(=O)OCC,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C],{[][<]*C[>][<]}{[>][<]*CC(=O)OCC[>][]}
926,[*]CC([*])C(=O)OCC(C)C,Egc,6.1261,CCC(C)C(=O)OCC(C)C,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*CC(=O)OCC(C)C[>][]}
927,[*]CC([*])C(=O)OCCCCCCCCCCCCCC,Egc,6.5079,CCC(C)C(=O)OCCCCCCCCCCCCCC,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]*CC(=O)OCCCCCCCCCCCCCC[>][]}
928,[*]CC([*])C(=O)OCC=C,Egc,6.066,CCC(C)C(=O)OCC=C,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][=C],{[][<]*C[>][<]}{[>][<]*CC(=O)OCC=C[>][]}
930,[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,Egc,6.8499,CCC(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*CC(=O)OCC(F)(F)C(F)C(F)(F)F[>][]}
931,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Egc,6.784,CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],{[][<]*C[>][<]}{[>][<]*CC(=O)OCC(F)(F)C(F)(F)C(F)(F)F[>][]}
